km_start,km_end,typ_trav,typ_rail,qualite_acier,rayon,groupe,element_standard,frequence,reserve_usure_min,annee,km_a_meuler,longueur,bin
0.282698,0.381198,Béton,54 E2,R 350 HT,133.0,60,31311211,0.14,-0.027746,-2.477321428571428,0.09849999999999998,0.09849999999999998,-3
0.284696,0.38769600000000004,Béton,54 E2,R 350 HT,130.0,206,31311211,0.14,0.0330565,2.951473214285714,0.0,0.10300000000000004,2
0.403946,0.428696,Béton,54 E2,R 350 HT,350.0,207,31211211,0.14,-0.0031079999999999,-0.27749999999999103,0.024749999999999994,0.024749999999999994,-1
0.45454,0.53079,Béton,54 E2,R 350 HT,335.0,174,31211211,0.14,0.041206,3.6791071428571422,0.0,0.07624999999999998,3
0.76454,0.8337899999999999,Acier (bêches courtes),UST 36,R 260,280.0,175,3134E111,0.14,0.017609,1.5722321428571426,0.0,0.06924999999999992,1
1.6962899999999999,1.81279,Acier (bêches courtes),UST 36,R 260,296.0,176,3134E111,0.14,0.0273669995,2.443482098214285,0.0,0.11650000000000005,2
2.01854,2.0802899999999998,Acier (bêches courtes),UST 36,R 260,181.0,177,3134E111,0.14,0.0160369999999999,1.4318749999999907,0.0,0.06174999999999997,1
2.29604,2.37979,Acier (bêches courtes),UST 36,R 260,263.0,178,3134E111,0.14,0.009763,0.8716964285714285,0.08374999999999977,0.08374999999999977,0
2.62179,2.72797,Acier (bêches courtes),UST 36,R 260,192.0,179,3134E111,0.14,0.025954,2.3173214285714283,0.0,0.10618000000000016,2
2.72797,2.76879,Acier (bêches courtes),UST 36,R 260,192.0,179,3134E111,0.14,0.025954,2.3173214285714283,0.0,0.04082000000000008,2
2.81729,2.98229,Acier (bêches courtes),UST 36,R 260,194.0,180,3134E111,0.14,0.020606501,1.8398661607142854,0.0,0.16500000000000004,1
3.31454,3.37054,Acier (bêches courtes),UST 36,R 260,170.0,181,3134E111,0.14,0.0019765004999999,0.17647325892856247,0.05600000000000005,0.05600000000000005,0
3.47229,3.55779,Acier (bêches courtes),UST 36,R 260,292.0,182,3134E111,0.14,0.0076239995,0.6807142410714284,0.08549999999999969,0.08549999999999969,0
3.93129,3.98904,Acier (bêches courtes),UST 36,R 260,310.0,183,3124E111,0.14,0.026396,2.356785714285714,0.0,0.05774999999999997,2
4.15904,4.39729,Acier (bêches courtes),UST 36,R 260,428.0,184,3124E111,0.14,0.026676001,2.3817858035714283,0.0,0.23824999999999985,2
4.55254,4.58154,Acier (bêches longues),46 E1,R 260,280.0,185,31342111,0.1,0.0244144995,3.0518124374999998,0.0,0.029000000000000803,3
5.14004,5.3090399999999995,Acier (bêches courtes),UST 36,R 260,300.0,187,3134E111,0.14,0.02814,2.5124999999999993,0.0,0.1689999999999996,2
5.39354,5.52529,Acier (bêches courtes),UST 36,R 260,196.0,188,3134E111,0.14,0.0209790009999999,1.873125089285705,0.0,0.13175000000000026,1
5.64654,5.70479,Acier (bêches courtes),UST 36,R 260,340.0,189,3124E111,0.14,0.019449,1.736517857142857,0.0,0.058250000000000135,1
5.9107899999999995,5.95929,Acier (bêches courtes),UST 36,R 260,175.0,190,3134E111,0.14,0.006275,0.5602678571428571,0.048500000000000654,0.048500000000000654,0
6.00204,6.02879,Acier (bêches courtes),UST 36,R 260,110.0,191,3144E111,0.14,-0.0297309999999999,-2.654553571428562,0.02674999999999983,0.02674999999999983,-3
6.02879,6.07229,Acier (bêches courtes),UST 36,R 260,136.0,192,3134E111,0.14,0.0110299999999999,0.9848214285714194,0.04349999999999987,0.04349999999999987,0
6.126871,6.147621,Acier (bêches courtes),UST 36,R 260,130.0,111,3134E111,0.14,-0.030782,-2.7483928571428566,0.020749999999999602,0.020749999999999602,-3
6.155621,6.170871,Acier (bêches courtes),UST 36,R 260,100.0,112,3144E111,0.14,0.004510001,0.4026786607142856,0.015249999999999986,0.015249999999999986,0
6.207121,6.24717,Acier (bêches courtes),UST 36,R 260,257.0,113,3134E111,0.14,-0.0037669999999999,-0.33633928571427674,0.04004899999999978,0.04004899999999978,-1
6.221621,6.236621,Acier (bêches courtes),UST 36,R 260,169.0,129,3134E111,0.14,0.000708999,0.06330348214285714,0.015000000000000568,0.015000000000000568,0
6.236621,6.24717,Acier (bêches courtes),UST 36,R 260,351.0,130,3124E111,0.14,0.01841,1.6437499999999996,0.0,0.010548999999999253,1
6.432211000000001,6.474211,Acier (bêches courtes),UST 36,R 260,101.0,1,3144E111,0.14,-0.003184,-0.28428571428571425,0.041999999999999815,0.041999999999999815,-1
6.609711,6.772211,Acier (bêches courtes),UST 36,R 260,373.0,2,3124E111,0.14,0.0190050005,1.6968750446428569,0.0,0.16250000000000053,1
6.24717,6.267621,Acier (bêches courtes),UST 36,R 260,257.0,113,3134E111,0.14,-0.0037669999999999,-0.33633928571427674,0.02045100000000044,0.02045100000000044,-1
6.267621,6.2781210000000005,Acier (bêches courtes),UST 36,R 260,148.0,114,3134E111,0.14,0.029627,2.6452678571428567,0.0,0.010500000000000398,2
6.2781210000000005,6.3021210000000005,Acier (bêches courtes),UST 36,R 260,100.0,115,3144E111,0.14,0.0061190005,0.5463393303571428,0.02400000000000002,0.02400000000000002,0
6.3021210000000005,6.320871,Acier (bêches courtes),UST 36,R 260,130.0,116,3134E111,0.14,-0.0076584999999999,-0.6837946428571338,0.018749999999999822,0.018749999999999822,-1
6.24717,6.260871,Acier (bêches courtes),UST 36,R 260,351.0,130,3124E111,0.14,0.01841,1.6437499999999996,0.0,0.013701000000000185,1
